Date,Time,Station ID,ImageCount,bus,car,motorcycle,truck,van,Total_vehicles,province
6/7/2025,08:00-09:00,PER-10-030,60,0,140,44,65,2,251,Samut Sakhon
6/7/2025,08:00-09:00,PER-10-034,60,26,359,53,155,33,626,Samut Songkhram
6/7/2025,08:00-09:00,PER-11-016,60,3,83,19,20,2,127,Ang Thong
6/7/2025,08:00-09:00,PER-11-022,60,0,90,16,6,3,115,Kanchanaburi
6/7/2025,08:00-09:00,PER-11-024,60,2,113,55,10,4,184,Samut Sakhon
6/7/2025,08:00-09:00,PER-11-030,52,6,67,5,13,5,96,Chonburi
6/7/2025,08:00-09:00,PER-12-008,60,0,62,9,6,1,78,Buriram
6/7/2025,08:00-09:00,PER-12-009,60,0,105,18,16,2,141,Sa Kaeo
6/7/2025,08:00-09:00,PER-12-012,60,3,156,8,60,15,242,Ang Thong
6/7/2025,08:00-09:00,PER-12-013,60,0,155,10,51,22,238,Nonthaburi
6/7/2025,08:00-09:00,PER-12-017,60,4,516,146,45,15,726,Nakhon Pathom
6/7/2025,08:00-09:00,PER-12-019,60,0,207,26,58,6,297,Phra Nakhon Si Ayutthaya
6/7/2025,08:00-09:00,PER-12-025,60,0,88,21,30,0,139,Chanthaburi
6/7/2025,08:00-09:00,PER-13-006,56,0,119,29,22,1,171,Phitsanulok
6/7/2025,08:00-09:00,PER-13-022,60,0,98,19,52,3,172,Nakhon Ratchasima
6/7/2025,08:00-09:00,PER-13-024,60,0,39,12,3,0,54,Suphanburi
6/7/2025,08:00-09:00,PER-13-025,60,1,260,97,41,9,408,Kanchanaburi
6/7/2025,08:00-09:00,PER-13-029,120,38,1345,235,213,55,1886,Pathum Thani
6/7/2025,08:00-09:00,PER-13-032,60,0,145,46,67,3,261,Chachoengsao
6/7/2025,08:00-09:00,PER-13-033,60,4,193,31,82,7,317,Phetchaburi
6/7/2025,08:00-09:00,PER-13-034,56,0,324,44,67,5,440,Ratchaburi
6/7/2025,08:00-09:00,PER-14-001,58,3,727,108,99,36,973,Nakhon Pathom
6/7/2025,08:00-09:00,PER-14-002,60,2,542,51,113,35,743,Chachoengsao
6/7/2025,08:00-09:00,PER-14-003,60,2,287,74,43,5,411,Surat Thani
6/7/2025,08:00-09:00,PER-14-006,60,0,75,13,26,1,115,Surat Thani
6/7/2025,08:00-09:00,PER-14-007,60,0,66,18,10,6,100,Krabi
6/7/2025,08:00-09:00,PER-14-008,60,1,117,23,21,15,177,Phang Nga
6/7/2025,08:00-09:00,PER-14-009,60,0,61,40,8,0,109,Chumphon
6/7/2025,08:00-09:00,PER-14-010,59,2,332,27,44,6,411,Songkhla
6/7/2025,08:00-09:00,PER-14-012,60,1,54,24,5,1,85,Songkhla
6/7/2025,08:00-09:00,PER-14-013,60,1,119,106,19,5,250,Pattani
6/7/2025,08:00-09:00,PER-15-002,34,0,25,12,5,0,42,Bueng Kan
6/7/2025,08:00-09:00,PER-15-003,39,0,37,11,13,1,62,Phitsanulok
6/7/2025,08:00-09:00,PER-15-008,41,0,60,15,26,2,103,Roi Et
